grade,funded_amnt_inv,total_pymnt,out_prncp,recoveries,profit_loss
A,2074931017.9275546,1047534669.7738177,1132578691.6800313,1389898.2652812698,106572241.79150543
B,3460312434.956746,1849462240.8019974,1868647200.210091,6251981.326336197,264048987.3815489
C,3546100720.3874207,1764145176.4012008,2099415422.7200093,9794876.704526046,327254755.4380987
D,2149763414.361083,1105517616.0157437,1261989497.459992,9562150.012011232,227305849.1267065
E,1266183519.705652,626619740.7253462,778311755.7300221,7808959.8331532385,146556936.5828562
F,438018930.4576974,247027393.03952464,243544143.98999915,4569234.211655382,57121840.78348066
G,111406104.12985507,67264511.38727568,58176572.919999965,1370671.9099999995,15405652.087420754
